weekly_flight_frequency
Week 1 starts from Monday 6th January 2020 and from Monday 7 January 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The y axis of the charts now shows displays each month from the 6th Jan going forward although the lines do represent each week's data up to and including the most recent week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year-over-year growth in Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Week commencing (2020 date),,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
Week commencing (2019 date),,7-Jan,14-Jan,21-Jan,28-Jan,4-Feb,11-Feb,18-Feb,25-Feb,4-Mar,11-Mar,18-Mar,25-Mar,1-Apr,8-Apr,15-Apr,22-Apr,29-Apr,6-May,13-May,20-May,27-May,3-Jun,10-Jun,17-Jun,24-Jun,1-Jul,8-Jul,15-Jul,22-Jul,29-Jul,5-Aug,12-Aug,19-Aug,26-Aug,2-Sep,9-Sep,16-Sep,23-Sep,30-Sep,7-Oct,14-Oct,21-Oct,28-Oct,4-Nov,11-Nov,18-Nov,25-Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
ALL,2019,"706,293","700,903","705,856","708,576","708,212","716,012","718,738","719,737","720,528","723,149","719,381","716,769","733,576","738,959","732,643","740,886","741,104","740,583","741,987","742,241","751,968","765,650","777,320","776,001","781,855","774,081","793,139","794,526","795,659","794,681","793,667","793,078","787,768","778,189","769,327","768,082","765,607","764,143","759,524","754,896","752,523","745,619","718,163","721,469","718,844","719,824","707,724"
,2020,"721,525","714,617","714,365","714,212","687,799","651,611","647,620","653,238","671,344","657,167","632,738","502,349","371,235","287,760","246,942","234,276","238,844","221,480","232,600","238,502","232,314","267,467","269,844","287,754","287,621","337,029","353,534","377,782","389,508","397,720","413,584","413,436","413,944","409,584","407,832","400,241","398,666","396,977","406,527","405,611","403,705","395,434","388,944","390,763","384,802","386,273","387,116"
,,2.2%,2.0%,1.2%,0.8%,-2.9%,-9.0%,-9.9%,-9.2%,-6.8%,-9.1%,-12.0%,-29.9%,-49.4%,-61.1%,-66.3%,-68.4%,-67.8%,-70.1%,-68.7%,-67.9%,-69.1%,-65.1%,-65.3%,-62.9%,-63.2%,-56.5%,-55.4%,-52.5%,-51.0%,-50.0%,-47.9%,-47.9%,-47.5%,-47.4%,-47.0%,-47.9%,-47.9%,-48.0%,-46.5%,-46.3%,-46.4%,-47.0%,-45.8%,-45.8%,-46.5%,-46.3%,-45.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Jan,13-Jan,20-Jan,27-Jan,3-Feb,10-Feb,17-Feb,24-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov
Spain,2019,"14,864","14,439","14,448","14,528","14,743","15,098","15,310","15,784","15,831","15,777","15,749","15,939","18,384","18,923","19,058","19,357","19,246","19,449","19,454","19,723","20,123","20,790","20,974","21,113","21,483","21,861","21,947","21,925","21,916","21,797","21,681","21,535","21,544","21,550","21,560","21,402","21,079","20,731","20,058","19,807","19,690","19,310","17,060","15,777","15,249","15,169","15,005"
,2020,"14,708","13,781","13,768","13,886","14,203","14,737","15,430","15,547","15,613","15,329","13,605","4,085","2,105","1,388","1,083",950,"1,119","1,486","1,429","1,078","1,115","1,438","1,274","2,157","3,412","5,401","6,772","8,634","9,294","10,305","11,807","11,934","11,779","11,565","10,242","9,313","8,217","8,003","7,414","6,963","6,954","6,454","6,087","5,648","4,713","4,297","4,172"
